iter	RMSE
0	50.51595942
1	39.31901329
2	30.95131464
3	24.71069187
4	20.00501805
5	16.68123418
6	14.23025576
7	12.54591395
8	11.23260104
9	10.39595547
10	9.849425726
11	9.49849108
12	9.283752502
13	9.146193206
14	9.064627263
15	9.012191578
16	8.97771314
17	8.955063222
18	8.936255726
19	8.925816994
20	8.91362631
21	8.908076271
22	8.902423424
23	8.896801877
24	8.893417317
25	8.889052284
26	8.887239416
27	8.883571237
28	8.881256486
29	8.87951915
30	8.875856377
31	8.874084889
32	8.873034799
33	8.870921014
34	8.868325624
35	8.865561567
36	8.863226616
37	8.861665304
38	8.861468379
39	8.860877774
40	8.859250662
41	8.857439059
42	8.856277953
43	8.856121288
44	8.85444029
45	8.852976546
46	8.852061383
47	8.850302264
48	8.84929258
49	8.847714792
50	8.847122258
51	8.846115523
52	8.844183514
53	8.842871627
54	8.841927675
55	8.840372058
56	8.839637726
57	8.838026577
58	8.836488479
59	8.834681633
60	8.833325501
61	8.831614511
62	8.830247682
63	8.828629367
64	8.827482709
65	8.826123357
66	8.823928691
67	8.822302427
68	8.819161949
69	8.8177408
70	8.816530601
71	8.815144983
72	8.812807238
73	8.811739022
74	8.810195895
75	8.808960136
76	8.807604602
77	8.806312514
78	8.805349053
79	8.804300165
80	8.803107237
81	8.802120265
82	8.801079657
83	8.800036125
84	8.79884575
85	8.797693539
86	8.79675761
87	8.795578939
88	8.794130772
89	8.793478414
90	8.792663763
91	8.791883566
92	8.790918913
93	8.789988541
94	8.789752089
95	8.788651882
96	8.787849441
97	8.786968835
98	8.786558305
99	8.78539574
100	8.784828503
101	8.783944097
102	8.782656531
103	8.781872429
104	8.780902834
105	8.780569373
106	8.779648238
107	8.778876483
108	8.777840188
109	8.776988851
110	8.776190142
111	8.775635914
112	8.775168032
113	8.774424621
114	8.773727598
115	8.772874283
116	8.772482905
117	8.771830992
118	8.770895844
119	8.770488878
120	8.769498879
121	8.768531194
122	8.767960669
123	8.767201059
124	8.766370955
125	8.766126119
126	8.76532811
127	8.76454259
128	8.763618309
129	8.762950036
130	8.762262515
131	8.761727267
132	8.761043047
133	8.760399905
134	8.759515769
135	8.758800552
136	8.758241342
137	8.757597238
138	8.757090069
139	8.756422393
140	8.755895104
141	8.755446411
142	8.754820963
143	8.753925109
144	8.753308684
145	8.752435884
146	8.751377817
147	8.750672354
148	8.750004798
149	8.749411022
150	8.74865117
151	8.747697185
152	8.746822338
153	8.745958981
154	8.745619666
155	8.745024477
156	8.74436728
157	8.743576637
158	8.743122001
159	8.742559281
160	8.742011677
161	8.741440869
162	8.740627878
163	8.740316776
164	8.739842491
165	8.739250108
166	8.738643575
167	8.737925483
168	8.737125522
169	8.736456588
170	8.735785229
171	8.735000056
172	8.734164938
173	8.733507866
174	8.733053138
175	8.732555752
176	8.73188069
177	8.731155379
178	8.730536702
179	8.730275934
180	8.730107122
181	8.729530962
182	8.728767954
183	8.728413046
184	8.727622183
185	8.727125611
186	8.726699473
187	8.726158061
188	8.725600636
189	8.724932439
190	8.724745575
191	8.724043353
192	8.723514812
193	8.72287931
194	8.722285527
195	8.721611662
196	8.720843623
197	8.720306686
198	8.719653274
199	8.718867276
200	8.718204716
201	8.717416017
202	8.717240471
203	8.717047406
204	8.716720234
205	8.716070788
206	8.715377833
207	8.714775798
208	8.714363338
