iter	Passed	Remaining
0	1875	2297973
1	3591	2198201
2	5122	2088163
3	6397	1954588
4	8458	2065661
5	9629	1958062
6	11044	1923240
7	12294	1871836
8	13484	1823453
9	14589	1774047
10	15699	1734100
11	16737	1693231
12	17866	1667045
13	19304	1671200
14	20493	1654528
15	22106	1671769
16	23490	1670604
17	25164	1688807
18	26459	1680886
19	27716	1671298
20	28805	1652860
21	30163	1650780
22	31464	1645746
23	32991	1652337
24	34136	1639916
25	35326	1630475
26	36366	1614950
27	37778	1616367
28	38896	1605487
29	40204	1602825
30	41494	1599527
31	43021	1605243
32	43648	1577970
33	44984	1577096
34	46459	1580935
35	47924	1584167
36	49357	1586094
37	50448	1577169
38	50858	1547915
39	51445	1525363
40	52670	1522308
41	53852	1518125
42	55191	1518408
43	55585	1493236
44	56864	1492373
45	58239	1493980
46	59216	1485443
47	60651	1488488
48	61873	1486226
49	63275	1488251
50	63710	1467835
51	65127	1470373
52	66764	1477632
53	68227	1480794
54	69327	1476039
55	70485	1472638
56	71433	1465021
57	72859	1467230
58	74408	1471775
59	75826	1473569
60	77125	1472976
61	78487	1473532
62	79899	1474969
63	81305	1476204
64	82682	1476844
65	84060	1477423
66	85484	1478750
67	86966	1480988
68	88392	1482182
69	89623	1480060
70	91091	1481836
71	92533	1483108
72	93992	1484569
73	95463	1486139
74	96937	1487668
75	98452	1489737
76	99814	1489437
77	101235	1489984
78	102551	1488949
79	103854	1487709
80	105154	1486437
81	106419	1484685
82	107876	1485580
83	109140	1483792
84	110483	1483078
85	111851	1482687
86	113297	1483287
87	114561	1481493
88	115794	1479305
89	117069	1477670
90	118416	1476957
91	119817	1476875
92	121096	1475299
93	122390	1473899
94	123353	1468555
95	124519	1465693
96	125896	1465328
97	127360	1465941
98	128608	1464056
99	130042	1464276
100	131194	1461330
101	132597	1461171
102	133682	1457533
103	135061	1457101
104	136622	1458605
105	137906	1457121
106	139398	1457825
107	140791	1457451
108	142351	1458780
109	143781	1458728
110	145185	1458391
111	146267	1454841
112	147460	1452417
113	148811	1451564
114	150110	1450200
115	151568	1450350
116	152644	1446861
117	154070	1446696
118	155345	1445101
119	156534	1442730
120	157692	1440086
121	158965	1438509
122	160056	1435304
123	161560	1435806
124	163014	1435830
125	164217	1433644
126	165458	1431804
127	166854	1431298
128	168365	1431757
129	170093	1434019
130	171499	1433523
131	172994	1433755
132	174331	1432663
133	175958	1433929
134	177410	1433743
135	178886	1433725
136	180317	1433328
137	181499	1430955
138	182735	1429021
139	184182	1428732
140	185529	1427652
141	186619	1424615
142	187958	1423489
143	189378	1422970
144	190807	1422499
145	192070	1420793
146	193297	1418832
147	194565	1417174
148	195708	1414619
149	197146	1414199
150	198598	1413863
151	200150	1414223
152	201472	1412938
153	203029	1413297
154	204411	1412417
155	205732	1411111
156	207171	1410615
157	208579	1409894
158	209746	1407541
159	210983	1405678
160	212245	1403983
161	213526	1402418
162	214784	1400708
163	216239	1400284
164	217582	1399122
165	218862	1397556
166	220277	1396851
167	221539	1395169
168	222825	1393648
169	224114	1392148
170	225457	1390980
171	226843	1390078
172	228262	1389365
173	229738	1388991
174	231342	1389377
175	232851	1389169
176	234146	1387679
177	235400	1385951
178	236625	1384059
179	237767	1381693
180	239002	1379874
181	240368	1378815
182	241898	1378688
183	243163	1377048
184	244656	1376689
185	245949	1375199
186	247225	1373624
187	248542	1372271
188	249746	1370302
189	251103	1369173
190	252249	1366901
191	253633	1365923
192	254988	1364783
193	256294	1363379
194	257727	1362651
195	259006	1361103
196	261265	1364681
197	263672	1368968
198	264874	1366966
199	266188	1365549
200	268066	1367007
201	269781	1367607
202	272077	1371111
203	274756	1376476
204	276788	1378542
205	279029	1381602
206	281373	1385118
207	284098	1390443
208	286411	1393688
