trial,rmse,iterations,depth,learning_rate,subsample
0,8.77014197612848,2482,3,0.15051787141425058,0.7815671845874645
1,8.77153804477615,970,7,0.2246707585009934,0.8045240832928584
2,8.807472427842214,1682,9,0.15066844200540916,0.8772228583932726
3,8.791860969089846,364,10,0.18023562580527586,0.8431629767929687
4,8.825618169545303,1487,4,0.02365255270307321,0.6743981234375309
5,8.826287737811809,301,9,0.043732645251927535,0.6206251399281698
6,8.804616776380064,712,8,0.2955872773713533,0.7262023714869713
7,8.75936647891169,1850,5,0.14929664840938267,0.6914390823928703
8,8.769291367841813,1258,7,0.0668112590144395,0.656054360122913
9,8.776979361359931,1744,8,0.1482541318150025,0.9360838571348548
10,8.753377216533632,2233,5,0.09106526839717652,0.9945873958042958
11,8.752919095626185,2205,5,0.09636553603828757,0.945015366889067
12,8.751954327959684,2410,5,0.08806332122754214,0.9757552545245345
13,8.753881171813294,2117,5,0.09696642723821443,0.9979932314112882
14,8.749490361809906,2465,6,0.10173838372231808,0.9077651906684778
15,8.814765591606744,2324,6,0.010287329068728812,0.911175285172703
16,8.766739792075551,2045,3,0.19763903216418224,0.8859185180958054
17,8.749745932527372,2485,6,0.11004657250072222,0.9620103441273924
18,8.754002009997732,1925,6,0.12676703820160767,0.8458223849090378
19,8.787082983926025,1421,7,0.25174932778542214,0.9451663487701943
20,8.78714591638523,905,4,0.12336845264584623,0.7731552424539546
21,8.750636960126878,2483,6,0.06276981060434292,0.9730319197274793
22,8.748951304783317,2458,7,0.05401634937628759,0.9613602990809382
23,8.751557184698,2448,5,0.08438300620309547,0.9396447573373039
24,8.756097876357,2337,5,0.09961528396769231,0.9273931895433944
,,,,,
MELHOR,8.748951304783317,2458,7,0.05401634937628759,0.9613602990809382
