trial,rmse,n_estimators,max_depth,learning_rate,subsample,colsample_bytree
0,8.75375257286154,707,10,0.07438066651962885,0.6060238584736025,0.9027052880686757
1,8.762949473879058,528,15,0.18579131253064302,0.6607245257538278,0.6362620562611216
2,8.78225913781474,2126,6,0.15151477168664612,0.794260593118698,0.9727272997392765
3,8.817064811047668,1973,5,0.2290932918364357,0.7247104257044628,0.9993989247989177
4,8.737576190783827,1259,7,0.0667003341024803,0.6994889067949419,0.6115914916425611
5,8.747253592994422,1278,5,0.14336401385684636,0.6206572980820115,0.8441991223818189
6,8.748347642054679,1156,12,0.09714223852685183,0.7013186271240905,0.921885837559572
7,8.767693913983528,352,12,0.08944861428942119,0.7791042361478288,0.6234729712213594
8,8.767157556374844,562,5,0.24651077826587064,0.6176269984885842,0.9370660163038358
9,8.88954254711588,1521,9,0.2960461569194382,0.7796247537976317,0.9333406396489039
10,8.80988852858792,2422,3,0.016382543799232124,0.9723262316311236,0.7273840455827887
11,8.758108221928186,1222,7,0.1404608094452982,0.8879540803796868,0.813639789648081
12,8.765666482576908,1596,7,0.01854018528628238,0.6913428675166993,0.8133569821366577
13,8.791564995934133,993,3,0.0598881188140508,0.6459361601234611,0.7465460454842694
14,8.76015970823391,1598,9,0.12442519969631699,0.7464896143476712,0.8495084368601872
15,8.756011507652582,885,5,0.20324750749788656,0.8558544948209685,0.725292367824222
16,8.742049733217282,1451,8,0.0442717318524794,0.6651295000743854,0.6636587251349102
17,8.736812938930246,1858,11,0.04820300122070577,0.6794961131844971,0.67317462132898
18,8.737175827100273,1884,11,0.044872570830553946,0.8331775231054326,0.6892421737445232
19,8.754539777979154,1892,12,0.11086949025892827,0.8674051609531271,0.6778776104742801
20,8.73579929498517,2474,14,0.04729004562661403,0.9237994273727859,0.7615157452816664
21,8.73622446691827,2434,15,0.04080738675667377,0.9365746457184336,0.7630163525165887
22,8.738420899721877,2493,15,0.03489399189938471,0.9387643598006152,0.7624348349406378
23,8.747004031782371,2243,13,0.0856647169864638,0.9097712883492971,0.7730370161932908
24,8.751234811743752,2253,14,0.019097884087040988,0.9774070354267673,0.7033095037348742
,,,,,,
MELHOR,8.73579929498517,2474,14,0.04729004562661403,0.9237994273727859,0.7615157452816664
