trial,rmse,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,reg_alpha,reg_lambda,gamma,min_child_weight
0,8.795303237012348,2450,10,0.027882700140232003,0.711923142309598,0.9224318330260135,0.726907253336823,0.7812451957668062,5.199074706978161e-07,0.002588148015471622,1.716442180193961,5
1,8.747352145208556,2454,6,0.0744316528355004,0.7430236257587759,0.6898513992968808,0.8292693570906875,0.9106127392300782,0.05007074101734253,1.5065495838784937,3.070081033542802,9
2,8.74886381630935,2062,11,0.014740288192510585,0.9835387103157602,0.6057868382644841,0.921603163745069,0.7534684896053179,7.620765828609399e-06,5.050464163181862,4.030080328979382,1
3,8.970791602690001,1842,12,0.054019432871129314,0.8060853599584602,0.68172920214575,0.8390387499376831,0.9045114553923466,1.3868326030140052e-07,0.6822514443487528,1.8226673701985963,4
4,8.779137974904314,2136,8,0.059129668437459,0.8535485310254589,0.7661929586397654,0.948448954453296,0.8702790295484666,0.00032115591139471154,0.003305858406013887,0.37191532649742065,5
5,8.740729297518705,907,6,0.05337085188915208,0.6353537153322907,0.9720033533854493,0.9352882525529111,0.6430819272175579,0.9259719941526989,7.9097418511059345,3.0409546240554497,9
6,8.769462853712891,1032,7,0.013864122958173568,0.9051551294000333,0.959173417271652,0.8245508744204928,0.7369016464527,0.05573318070755359,0.0025990286012532423,1.4217583160594816,10
7,8.742280119629985,1387,6,0.09279558541550052,0.7977227233024053,0.767598528519153,0.6413457813165616,0.9056494174383145,4.59198399623273e-06,3.012946412135849e-06,2.4458380574969367,7
8,8.74984218221788,903,4,0.11127445111745121,0.8909242548700593,0.8654901085335542,0.651478230446843,0.813273442210892,8.184436462511027,1.1445584642479146e-07,4.1110613470583015,7
9,9.403332885687343,1825,10,0.14790572227052293,0.6387881273523691,0.6788760563093362,0.6819948564720079,0.9018964079255987,0.0012557392782050212,0.000472502153233044,2.423803185547688,5
10,8.80259713646358,554,5,0.029159486037047124,0.6009292198261008,0.8631424372432952,0.9886406429681902,0.6280972218317258,9.579273352207228,0.11911037787533507,4.996240052507073,8
11,8.847506328611441,1308,8,0.10261708501101459,0.6806064155220805,0.7960339187596861,0.6002828487741263,0.9965306005836452,1.3064289518424424e-05,1.2218167642146997e-06,2.969071377964805,7
12,8.738666602825429,1360,6,0.02958904029082628,0.7806225642400769,0.990041760162057,0.8982992872910212,0.6276270614287891,0.013310189768437607,7.645416207991732e-06,3.234001879882591,10
13,8.787724897327642,995,4,0.034431471229985376,0.747195234958737,0.9828938222192329,0.9046770525213199,0.6169499653411629,0.10654386654156593,1.3045798962536324e-05,3.7752085811243594,10
14,8.803229521359276,504,6,0.02232371238433149,0.6638685158346386,0.8914794048425676,0.8795992889442217,0.6760604717876784,0.006608342627366481,1.45007313214752e-08,3.271259110521045,9
15,8.734095008142754,1189,8,0.04124226903384863,0.9711484516081659,0.9931392177469709,0.9837427905479197,0.693583999294188,0.7473869746886861,0.053416364797570386,4.815452061353886,3
16,8.744914960680013,1653,9,0.010363223102936183,0.9830793129779534,0.914146617688064,0.9999573326383395,0.6815521152396061,0.6938391847883194,0.041885084720967254,4.9682015789416765,2
17,8.742121389253686,1237,7,0.019917122265250536,0.9225016732789797,0.9880928516363824,0.7435531897852707,0.7079620079785893,0.00480393335350192,6.585565966724687e-05,4.241560486053379,3
18,8.754468631333456,1547,9,0.039336630794932284,0.8206264026195599,0.843567675799092,0.8788027986647745,0.6054186495991988,7.845382756232692e-05,0.03380404222775721,4.5515628944034185,3
19,8.730609293771883,1183,7,0.045634171315396765,0.9483895020704348,0.9408387975208645,0.9731800457453637,0.6701279916832464,0.4721843526812085,0.00011040145651444807,3.563065550605914,1
20,8.957239834659088,758,9,0.1679601056618825,0.9463097588776254,0.9454485941741223,0.9531894576307496,0.8311140250875922,1.1296702498119292e-08,0.00023848133193936068,3.6242243619132326,1
21,8.730040344771185,1145,7,0.04269262045629722,0.8739697774837054,0.9928865587917701,0.9744161297574184,0.6681144843894893,0.5332289367881878,1.7393417559849508e-05,4.524129691822362,2
22,8.730357706210677,1139,7,0.044654474393666745,0.8659147065804144,0.9381130897119552,0.9724962225343305,0.6746117037908571,0.8076461371495118,7.013344898741933e-05,4.459205494852869,2
23,8.743206715960294,1110,7,0.07002413682205075,0.8617581289929985,0.931283161635557,0.9654087738407386,0.7271393945316352,0.33345504979983576,6.672483423958764e-05,4.4244581864532515,2
24,8.766621410658079,700,5,0.046173724007415394,0.863920299544064,0.8918613234942984,0.7870548604640497,0.6612728148541633,2.537357345632024,4.841146945857263e-07,3.6754482893239837,1
,,,,,,,,,,,,
MELHOR,8.730040344771185,1145,7,0.04269262045629722,0.8739697774837054,0.9928865587917701,0.9744161297574184,0.6681144843894893,0.5332289367881878,1.7393417559849508e-05,4.524129691822362,2
